Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DE-110817.PrjPcb|ReportField=ProjectFullPath~F:\SkyDrive\OtvoreniProjekti\SuperBeton\hw\hw\DE-110817.PrjPcb|ReportField=Title~Bill of Materials For Project [DE-110817.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~203|ReportField=ReportTime~03:48:39|ReportField=ReportDate~13.5.2018.|ReportField=ReportDateTime~13.5.2018. 03:48:39|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Topal Osman Paše 18|ReportField=Address2~71000 Sarajevo|ReportField=Address3~Federacija BiH|ReportField=Address4~Bosna i Hercegovina|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~eldar6776@hotmail.com|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~13.5.2018.|ReportField=CurrentTime~03:48:34|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\SkyDrive\OtvoreniProjekti\SuperBeton\hw\hw\DE-110817_01.SchDoc|ReportField=DocumentName~DE-110817_01.SchDoc|ReportField=DocumentNumber~DE-110817|ReportField=DrawnBy~Eldar Dedic|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~13.5.2018.|ReportField=Organization~I-MEDIA GROUP d.o.o.|ReportField=ProjectName~DE-110817.PrjPcb|ReportField=Revision~001|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~CuC & Com|ReportField=DataSourceFileName~DE-110817.PrjPcb|ReportField=DataSourceFullPath~F:\SkyDrive\OtvoreniProjekti\SuperBeton\hw\hw\DE-110817.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|10uF|Ceramic Chip Capacitor - Standard|C100, C102, C104, C110, C111, C113, C114, C116, C126, C127, C129, C130, C131, C205, C208, C209, C210, C211, C212, C213, C214, C215, C226, C230|0805|C0805|24
2|100nF|Ceramic Chip Capacitor - Standard|C101, C103, C105, C108, C109, C112, C115, C117, C118, C119, C121, C122, C123, C124, C125, C128, C132, C134, C135, C200, C201, C202, C203, C204, C206, C207, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C227, C228, C231, C232, C233, C234, C235, C236|0603|C0603|44
3|22pF|Ceramic Chip Capacitor - Standard|C106, C107|0603|C0603|2
4|1uF|Ceramic Chip Capacitor - Standard|C120|0603|C0603|1
5|1000uF|Aluminum Electrolytic Capacitor, Radial Style with Long Leads: 1000uF, 16V|C133|CAPPR5-10x16|EKA00DD410D00|1
6|10nF|Ceramic Chip Capacitor - Standard|C229|0603|C0603|1
7|1N4001|Schottky Rectifier|D100, D101|SMA|10MQ060N|2
8|SM712|TVS Diode WE-TVS-Standard, VRWM=5.0V|D102|SOT23_3L|824022|1
9|3V3|Zener Voltage Regulator, 300 mW, 2-Pin SOD-323, Pb-Free, Tape and Reel|D200, D201, D202, D203, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215, D216, D217|ONSC-SOD-323-2-477-02_V|MM3Z33VT1G|16
10|1N4148|General-purpose Diode|D204, D205|SOD323|BAS321|2
11|120R|SMD EMI Suppression Ferrite Bead WE-CBF, Z = 120 Ohm|L100, L200, L201|SMD-0805|74279202|3
12|CONFIG|Header, 2-Pin|P100|HDR1X2|Header 2|1
13|HC12_RADIO|Header, 5-Pin|P101|HDR1X5|Header 5|1
14|nRF905|Header, 7-Pin, Dual row|P102|HDR2X7|Header 7X2|1
15|NRF24L01|Header, 4-Pin, Dual row|P103|HDR2X4|Header 4X2|1
16|ULINK_ICSP|Header, 5-Pin|P104|HDR1X5|Header 5|1
17|TERMINAL BLOK 3|3 pinski terminal blok konektor|P105|TERMINAL BLOK 3|TERMINAL BLOK 3|1
18|TERMINAL BLOK 2|2 pinski terminal blok|P106|TERMINAL BLOK 2|TERMINAL BLOK 2|1
19|SPI_EXPANDER|Header, 3-Pin, Dual row|P107|HDR2X3|Header 3X2|1
20|ANALOG_INPUT|Header, 8-Pin|P200|HDR1X8|Header 8|1
